第:814回合,loss:50.24498
第:815回合,loss:50.34747
第:816回合,loss:50.28498
第:817回合,loss:50.241787
第:818回合,loss:50.338657
第:819回合,loss:50.243084
第:820回合,loss:50.208374
第:821回合,loss:50.23037
第:822回合,loss:50.133377
第:823回合,loss:50.208252
第:824回合,loss:50.18876
第:825回合,loss:50.133415
第:826回合,loss:50.224464
第:827回合,loss:50.38507
第:828回合,loss:50.2208
第:829回合,loss:50.284992
第:830回合,loss:50.309536
第:831回合,loss:50.136223
第:832回合,loss:50.139103
第:833回合,loss:50.115273
第:834回合,loss:50.175175
第:835回合,loss:50.146202
第:836回合,loss:50.08675
第:837回合,loss:50.168114
第:838回合,loss:50.368008
第:839回合,loss:50.190662
第:840回合,loss:50.329514
第:841回合,loss:50.32388
第:842回合,loss:50.065304
第:843回合,loss:50.097675
第:844回合,loss:50.099323
第:845回合,loss:50.115875
第:846回合,loss:50.080143
第:847回合,loss:50.053474
第:848回合,loss:50.08178
第:849回合,loss:50.119003
第:850回合,loss:50.10225
第:851回合,loss:50.045048
第:852回合,loss:50.048542
第:853回合,loss:50.07982
第:854回合,loss:50.10218
第:855回合,loss:50.125652
第:856回合,loss:50.055557
第:857回合,loss:50.05699
第:858回合,loss:50.22291
第:859回合,loss:50.165585
第:860回合,loss:50.166542
第:861回合,loss:50.199432
第:862回合,loss:49.988876
第:863回合,loss:50.019363
第:864回合,loss:49.990425
第:865回合,loss:50.062542
第:866回合,loss:50.032845
第:867回合,loss:49.987965
第:868回合,loss:50.051483
第:869回合,loss:50.053333
第:870回合,loss:50.1014
第:871回合,loss:50.047455
第:872回合,loss:49.999382
第:873回合,loss:50.092083
第:874回合,loss:50.04155
第:875回合,loss:50.17796
第:876回合,loss:50.12414
第:877回合,loss:50.07157
第:878回合,loss:50.171867
第:879回合,loss:50.217255
第:880回合,loss:50.015804
第:881回合,loss:49.99254
第:882回合,loss:49.911095
第:883回合,loss:49.904915
第:884回合,loss:49.99422
第:885回合,loss:49.99655
第:886回合,loss:49.92085
第:887回合,loss:49.94496
第:888回合,loss:49.967068
第:889回合,loss:49.96462
第:890回合,loss:49.924328
第:891回合,loss:49.886375
第:892回合,loss:49.937584
第:893回合,loss:50.02289
第:894回合,loss:50.170742
第:895回合,loss:50.132225
第:896回合,loss:50.081924
第:897回合,loss:50.16163
第:898回合,loss:50.133118
第:899回合,loss:49.919746
第:900回合,loss:49.91005
第:901回合,loss:49.886753
第:902回合,loss:49.941956
第:903回合,loss:50.0286
第:904回合,loss:50.008953
第:905回合,loss:49.89254
第:906回合,loss:49.92664
第:907回合,loss:49.948956
第:908回合,loss:49.831207
第:909回合,loss:49.86867
第:910回合,loss:49.88807
第:911回合,loss:50.042473
第:912回合,loss:50.179764
第:913回合,loss:50.073868
第:914回合,loss:50.12862
第:915回合,loss:49.888443
第:916回合,loss:49.867157
第:917回合,loss:49.749676
第:918回合,loss:49.745148
第:919回合,loss:49.80721
第:920回合,loss:49.886116
第:921回合,loss:49.966778
第:922回合,loss:49.9491
第:923回合,loss:49.909435
第:924回合,loss:49.897713
第:925回合,loss:49.91792
第:926回合,loss:49.734035
第:927回合,loss:49.85744
第:928回合,loss:49.870995
第:929回合,loss:50.05515
第:930回合,loss:50.10255
第:931回合,loss:49.995617
第:932回合,loss:49.86117
第:933回合,loss:49.823536
第:934回合,loss:49.78517
第:935回合,loss:49.729736
第:936回合,loss:49.71073
第:937回合,loss:49.87374
第:938回合,loss:50.087635
第:939回合,loss:50.004585
第:940回合,loss:49.91348
第:941回合,loss:49.802402
第:942回合,loss:49.783752
第:943回合,loss:49.671257
第:944回合,loss:49.67993
第:945回合,loss:49.79043
第:946回合,loss:49.943977
第:947回合,loss:49.966106
第:948回合,loss:49.872723
第:949回合,loss:49.849846
第:950回合,loss:49.847477
第:951回合,loss:49.73031
第:952回合,loss:49.70107
第:953回合,loss:49.78848
第:954回合,loss:49.88044
第:955回合,loss:49.894073
第:956回合,loss:49.77764
第:957回合,loss:49.74488
第:958回合,loss:49.77134
第:959回合,loss:49.67075
第:960回合,loss:49.712975
第:961回合,loss:49.93533
第:962回合,loss:50.051964
第:963回合,loss:50.005047
第:964回合,loss:49.76674
第:965回合,loss:49.713795
第:966回合,loss:49.59911
第:967回合,loss:49.604694
第:968回合,loss:49.677227
第:969回合,loss:49.839092
第:970回合,loss:49.926178
第:971回合,loss:49.8538
第:972回合,loss:49.851936
第:973回合,loss:49.72486
第:974回合,loss:49.643036
第:975回合,loss:49.58591
第:976回合,loss:49.65387
第:977回合,loss:49.683872
第:978回合,loss:49.68842
第:979回合,loss:49.716446
第:980回合,loss:49.89281
第:981回合,loss:49.90285
第:982回合,loss:49.736675
第:983回合,loss:49.661766
第:984回合,loss:49.594875
第:985回合,loss:49.5715
第:986回合,loss:49.614258
第:987回合,loss:49.770657
第:988回合,loss:49.858215
第:989回合,loss:49.66803
第:990回合,loss:49.61417
第:991回合,loss:49.655926
第:992回合,loss:49.568302
第:993回合,loss:49.53862
第:994回合,loss:49.787598
第:995回合,loss:50.108738
第:996回合,loss:50.03327
第:997回合,loss:49.665627
第:998回合,loss:49.59988
第:999回合,loss:49.486076
